"","province","location","year","latinName","commonName","counts","catched","adult","pulli","not_catched"
"1","Antwerpen","Antwerpen",2013,"Alopochen aegyptiacus","Nijlgans",12,NA,NA,NA,NA
"2","Antwerpen","Antwerpen",2013,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"3","Antwerpen","Antwerpen",2013,"Anser anser","Grauwe gans",29,NA,NA,NA,NA
"4","Antwerpen","Antwerpen",2013,"Anser anser forma domesticus","Soepgans",4,NA,NA,NA,NA
"5","Antwerpen","Antwerpen",2013,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"6","Antwerpen","Antwerpen",2013,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"7","Antwerpen","Antwerpen",2013,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"8","Antwerpen","Antwerpen",2013,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"9","Antwerpen","Antwerpen",2013,"Branta canadensis","Canadese gans",456,NA,NA,NA,NA
"10","Antwerpen","Antwerpen",2013,"Branta leucopsis","Brandgans",1,NA,NA,NA,NA
"11","Antwerpen","Antwerpen",2013,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"12","Antwerpen","Antwerpen",2013,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"13","Antwerpen","Antwerpen",2014,"Alopochen aegyptiacus","Nijlgans",7,NA,NA,NA,NA
"14","Antwerpen","Antwerpen",2014,"Anser albifrons","Kolgans",1,NA,NA,NA,NA
"15","Antwerpen","Antwerpen",2014,"Anser anser","Grauwe gans",2,NA,NA,NA,NA
"16","Antwerpen","Antwerpen",2014,"Anser anser forma domesticus","Soepgans",0,69,69,0,0
"17","Antwerpen","Antwerpen",2014,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"18","Antwerpen","Antwerpen",2014,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"19","Antwerpen","Antwerpen",2014,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"20","Antwerpen","Antwerpen",2014,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"21","Antwerpen","Antwerpen",2014,"Branta canadensis","Canadese gans",62,538,464,74,0
"22","Antwerpen","Antwerpen",2014,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"23","Antwerpen","Antwerpen",2014,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"24","Antwerpen","Antwerpen",2014,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"25","Antwerpen","Antwerpen",2015,"Alopochen aegyptiacus","Nijlgans",13,NA,NA,NA,NA
"26","Antwerpen","Antwerpen",2015,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"27","Antwerpen","Antwerpen",2015,"Anser anser","Grauwe gans",4,NA,NA,NA,NA
"28","Antwerpen","Antwerpen",2015,"Anser anser forma domesticus","Soepgans",2,NA,NA,NA,NA
"29","Antwerpen","Antwerpen",2015,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"30","Antwerpen","Antwerpen",2015,"Anser cygnoides","Chinese knobbelgans",0,NA,NA,NA,NA
"31","Antwerpen","Antwerpen",2015,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"32","Antwerpen","Antwerpen",2015,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"33","Antwerpen","Antwerpen",2015,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"34","Antwerpen","Antwerpen",2015,"Branta canadensis","Canadese gans",95,NA,NA,NA,NA
"35","Antwerpen","Antwerpen",2015,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"36","Antwerpen","Antwerpen",2015,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"37","Antwerpen","Antwerpen",2015,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"38","Antwerpen","Antwerpen",2016,"Alopochen aegyptiacus","Nijlgans",4,NA,NA,NA,NA
"39","Antwerpen","Antwerpen",2016,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"40","Antwerpen","Antwerpen",2016,"Anser anser","Grauwe gans",7,NA,NA,NA,NA
"41","Antwerpen","Antwerpen",2016,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"42","Antwerpen","Antwerpen",2016,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"43","Antwerpen","Antwerpen",2016,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"44","Antwerpen","Antwerpen",2016,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"45","Antwerpen","Antwerpen",2016,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"46","Antwerpen","Antwerpen",2016,"Branta canadensis","Canadese gans",86,NA,NA,NA,NA
"47","Antwerpen","Antwerpen",2016,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"48","Antwerpen","Antwerpen",2016,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"49","Antwerpen","Antwerpen",2016,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"50","Antwerpen","Antwerpen",2017,"Alopochen aegyptiacus","Nijlgans",7,NA,NA,NA,NA
"51","Antwerpen","Antwerpen",2017,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"52","Antwerpen","Antwerpen",2017,"Anser anser","Grauwe gans",17,NA,NA,NA,NA
"53","Antwerpen","Antwerpen",2017,"Anser anser forma domesticus","Soepgans",1,NA,NA,NA,NA
"54","Antwerpen","Antwerpen",2017,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"55","Antwerpen","Antwerpen",2017,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"56","Antwerpen","Antwerpen",2017,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"57","Antwerpen","Antwerpen",2017,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"58","Antwerpen","Antwerpen",2017,"Branta canadensis","Canadese gans",153,NA,NA,NA,NA
"59","Antwerpen","Antwerpen",2017,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"60","Antwerpen","Antwerpen",2017,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"61","Antwerpen","Antwerpen",2017,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"62","Antwerpen","Antwerpen",2018,"Alopochen aegyptiacus","Nijlgans",12,NA,NA,NA,NA
"63","Antwerpen","Antwerpen",2018,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"64","Antwerpen","Antwerpen",2018,"Anser anser","Grauwe gans",2,NA,NA,NA,NA
"65","Antwerpen","Antwerpen",2018,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"66","Antwerpen","Antwerpen",2018,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"67","Antwerpen","Antwerpen",2018,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"68","Antwerpen","Antwerpen",2018,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"69","Antwerpen","Antwerpen",2018,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"70","Antwerpen","Antwerpen",2018,"Branta canadensis","Canadese gans",64,NA,NA,NA,NA
"71","Antwerpen","Antwerpen",2018,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"72","Antwerpen","Antwerpen",2018,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"73","Antwerpen","Antwerpen",2018,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"74","Antwerpen","Arendonk",2013,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"75","Antwerpen","Arendonk",2013,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"76","Antwerpen","Arendonk",2013,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"77","Antwerpen","Arendonk",2013,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"78","Antwerpen","Arendonk",2013,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"79","Antwerpen","Arendonk",2013,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"80","Antwerpen","Arendonk",2013,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"81","Antwerpen","Arendonk",2013,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"82","Antwerpen","Arendonk",2013,"Branta canadensis","Canadese gans",8,NA,NA,NA,NA
"83","Antwerpen","Arendonk",2013,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"84","Antwerpen","Arendonk",2013,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"85","Antwerpen","Arendonk",2013,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"86","Antwerpen","Arendonk",2014,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"87","Antwerpen","Arendonk",2014,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"88","Antwerpen","Arendonk",2014,"Anser anser","Grauwe gans",6,NA,NA,NA,NA
"89","Antwerpen","Arendonk",2014,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"90","Antwerpen","Arendonk",2014,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"91","Antwerpen","Arendonk",2014,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"92","Antwerpen","Arendonk",2014,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"93","Antwerpen","Arendonk",2014,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"94","Antwerpen","Arendonk",2014,"Branta canadensis","Canadese gans",0,NA,NA,NA,NA
"95","Antwerpen","Arendonk",2014,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"96","Antwerpen","Arendonk",2014,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"97","Antwerpen","Arendonk",2014,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"98","Antwerpen","Arendonk",2015,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"99","Antwerpen","Arendonk",2015,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"100","Antwerpen","Arendonk",2015,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"101","Antwerpen","Arendonk",2015,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"102","Antwerpen","Arendonk",2015,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"103","Antwerpen","Arendonk",2015,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"104","Antwerpen","Arendonk",2015,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"105","Antwerpen","Arendonk",2015,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"106","Antwerpen","Arendonk",2015,"Branta canadensis","Canadese gans",3,NA,NA,NA,NA
"107","Antwerpen","Arendonk",2015,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"108","Antwerpen","Arendonk",2015,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"109","Antwerpen","Arendonk",2015,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
